Symbol,Date,Open,High,Low,Close,Direction,Atr,IndicatorName,IndicatorSetting,IndicatorDirection,IndicatorSignal,
AUDCAD,2020-03-11 00:00:00,0.89229,0.89810,0.88841,0.89254,1,0.01153,Sma,7,1,0,
AUDCAD,2020-03-10 00:00:00,0.90155,0.90312,0.88971,0.89229,-1,0.01142,Sma,7,1,0,
AUDCAD,2020-03-09 00:00:00,0.89432,0.90589,0.86664,0.90155,1,0.01085,Sma,7,1,0,
AUDCAD,2020-03-06 00:00:00,0.88621,0.89239,0.88256,0.88991,1,0.00829,Sma,7,1,0,
AUDCAD,2020-03-05 00:00:00,0.88652,0.88918,0.88293,0.88642,-1,0.00781,Sma,7,1,0,
AUDCAD,2020-03-04 00:00:00,0.88087,0.88744,0.87957,0.88679,1,0.00763,Sma,7,1,0,
AUDCAD,2020-03-03 00:00:00,0.87030,0.88585,0.86816,0.88108,1,0.00739,Sma,7,1,1,
AUDCAD,2020-03-02 00:00:00,0.86857,0.87645,0.86805,0.86946,1,0.00640,Sma,7,-1,0,
AUDCAD,2020-02-28 00:00:00,0.87935,0.88166,0.86387,0.87112,-1,0.00614,Sma,7,-1,1,
AUDCAD,2020-02-27 00:00:00,0.87214,0.88102,0.87169,0.87911,1,0.00525,Sma,7,1,1,
AUDCAD,2020-02-26 00:00:00,0.87651,0.87743,0.87127,0.87236,-1,0.00518,Sma,7,-1,0,
AUDCAD,2020-02-25 00:00:00,0.87750,0.87987,0.87466,0.87633,-1,0.00508,Sma,7,-1,0,
AUDCAD,2020-02-24 00:00:00,0.87221,0.87863,0.87213,0.87762,1,0.00515,Sma,7,-1,0,
AUDCAD,2020-02-21 00:00:00,0.87663,0.87759,0.87351,0.87517,-1,0.00518,Sma,7,-1,0,
AUDCAD,2020-02-20 00:00:00,0.88185,0.88425,0.87620,0.87632,-1,0.00530,Sma,7,-1,0,
AUDCAD,2020-02-19 00:00:00,0.88614,0.88771,0.88219,0.88235,-1,0.00500,Sma,7,-1,0,
AUDCAD,2020-02-18 00:00:00,0.88782,0.88851,0.88515,0.88632,-1,0.00499,Sma,7,-1,0,
AUDCAD,2020-02-17 00:00:00,0.89022,0.89126,0.88814,0.88835,-1,0.00502,Sma,7,-1,0,
AUDCAD,2020-02-14 00:00:00,0.89107,0.89217,0.88840,0.88910,-1,0.00502,Sma,7,-1,0,
AUDCAD,2020-02-13 00:00:00,0.89262,0.89306,0.88855,0.89137,-1,0.00523,Sma,7,-1,1,
AUDCAD,2020-02-12 00:00:00,0.89198,0.89533,0.89159,0.89239,1,0.00520,Sma,7,1,0,
AUDCAD,2020-02-11 00:00:00,0.89010,0.89452,0.88964,0.89183,1,0.00545,Sma,7,1,1,
AUDCAD,2020-02-10 00:00:00,0.88645,0.89148,0.88625,0.89024,1,0.00557,Sma,7,-1,0,
AUDCAD,2020-02-07 00:00:00,0.89350,0.89488,0.88645,0.88768,-1,0.00547,Sma,7,-1,1,
AUDCAD,2020-02-06 00:00:00,0.89597,0.89844,0.89376,0.89376,-1,0.00518,Sma,7,1,0,
AUDCAD,2020-02-05 00:00:00,0.89449,0.89952,0.89331,0.89591,1,0.00509,Sma,7,1,0,
AUDCAD,2020-02-04 00:00:00,0.88852,0.89519,0.88828,0.89441,1,0.00506,Sma,7,1,1,
AUDCAD,2020-02-03 00:00:00,0.88461,0.88976,0.88404,0.88854,1,0.00476,Sma,7,-1,0,
AUDCAD,2020-01-31 00:00:00,0.88747,0.88799,0.88410,0.88431,-1,0.00460,Sma,7,-1,0,
AUDCAD,2020-01-30 00:00:00,0.89046,0.89135,0.88595,0.88754,-1,0.00456,Sma,7,-1,0,
AUDCAD,2020-01-29 00:00:00,0.88955,0.89214,0.88840,0.89105,1,0.00477,Sma,7,-1,0,
AUDCAD,2020-01-28 00:00:00,0.89172,0.89194,0.88884,0.88947,-1,0.00477,Sma,7,-1,0,
AUDCAD,2020-01-27 00:00:00,0.89579,0.89661,0.88980,0.89175,-1,0.00498,Sma,7,-1,0,
AUDCAD,2020-01-24 00:00:00,0.89767,0.89985,0.89575,0.89639,-1,0.00505,Sma,7,-1,1,
AUDCAD,2020-01-23 00:00:00,0.89862,0.90485,0.89767,0.89784,-1,0.00508,Sma,7,1,0,
AUDCAD,2020-01-22 00:00:00,0.89406,0.89966,0.89311,0.89863,1,0.00507,Sma,7,1,1,
AUDCAD,2020-01-21 00:00:00,0.89634,0.89784,0.89402,0.89402,-1,0.00495,Sma,7,-1,0,
AUDCAD,2020-04-13 00:00:00,0.88328,0.89108,0.88284,0.88684,1,0.01518,Sma,8,1,0,
AUDCAD,2020-04-10 00:00:00,0.88556,0.88847,0.88239,0.88535,-1,0.01610,Sma,8,1,0,
AUDCAD,2020-04-09 00:00:00,0.87265,0.88767,0.87047,0.88560,1,0.01729,Sma,8,1,0,
AUDCAD,2020-04-08 00:00:00,0.86299,0.87648,0.85927,0.87265,1,0.01833,Sma,8,1,0,
